cdmTableName,cdmFieldName,conceptId,conceptName,unitConceptId,unitConceptName,checkName,Threshold,checkParameter,Notes
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2109900,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; chemical",,,plausibleGender,5,Male,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2109902,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; cryosurgery",,,plausibleGender,5,Male,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2109905,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), extensive (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery)",,,plausibleGender,5,Male,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2109906,"Biopsy of penis, (separate procedure)",,,plausibleGender,5,Male,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2109916,"Circumcision, using clamp or other device with regional dorsal penile or ring block",,,plausibleGender,5,Male,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2109968,Foreskin manipulation including lysis of preputial adhesions and stretching,,,plausibleGender,5,Male,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2109973,"Orchiectomy, simple (including subcapsular), with or without testicular prosthesis, scrotal or inguinal approach",,,plausibleGender,5,Male,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2109981,"Orchiopexy, inguinal approach, with or without hernia repair",,,plausibleGender,5,Male,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110004,Drainage of scrotal wall abscess,,,plausibleGender,5,Male,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110011,"Vasectomy, unilateral or bilateral (separate procedure), including postoperative semen examination(s)",,,plausibleGender,5,Male,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110026,"Biopsy, prostate; needle or punch, single or multiple, any approach",,,plausibleGender,5,Male,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110039,"Prostatectomy, retropubic radical, with or without nerve sparing; with bilateral pelvic lymphadenectomy, including external iliac, hypogastric, and obturator nodes",,,plausibleGender,5,Male,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110044,"Laparoscopy, surgical prostatectomy, retropubic radical, including nerve sparing, includes robotic assistance, when performed",,,plausibleGender,5,Male,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110078,Colposcopy of the vulva,,,plausibleGender,5,Female,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110116,"Colpopexy, vaginal; extra-peritoneal approach (sacrospinous, iliococcygeus)",,,plausibleGender,5,Female,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110142,"Laparoscopy, surgical, colpopexy (suspension of vaginal apex)",,,plausibleGender,5,Female,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110144,"Colposcopy of the cervix including upper/adjacent vagina, with biopsy(s) of the cervix and endocervical curettage",,,plausibleGender,5,Female,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110169,"Endometrial sampling (biopsy) with or without endocervical sampling (biopsy), without cervical dilation, any method (separate procedure)",,,plausibleGender,5,Female,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110175,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s)",,,plausibleGender,5,Female,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110194,Insertion of intrauterine device (IUD),,,plausibleGender,5,Female,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110195,Removal of intrauterine device (IUD),,,plausibleGender,5,Female,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110203,"Endometrial ablation, thermal, without hysteroscopic guidance",,,plausibleGender,5,Female,
PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID,2110222,"Hysteroscopy, surgical; with sampling (biopsy) of endometrium and/or polypectomy, with or without D & C",,,plausibleGender,5,Female,
