cdmTableName,cdmFieldName,checkName,Threshold,checkParameter,checkParameter_conceptId,checkParameter_conceptName,checkParameter_unitConceptId,checkParameter_unitConceptName,Notes
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,201346,Edema of penis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,201355,Erosion and ectropion of the cervix,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,201527,Neoplasm of uncertain behavior of prostate,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,201617,Prostatic cyst,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,201625,Malposition of uterus,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,201801,Primary malignant neoplasm of fallopian tube,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,201817,Benign neoplasm of female genital organ,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,201823,Benign neoplasm of penis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,201907,Edema of male genital organs,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,201909,Female infertility,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,201913,"Torsion of the ovary, ovarian pedicle or fallopian tube",,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,314409,Vascular disorder of penis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,315586,Priapism,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,433716,Primary malignant neoplasm of testis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,434251,Injury of male external genital organs,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,435315,Torsion of testis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,435648,Retractile testis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,436155,Redundant prepuce and phimosis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,436358,Primary malignant neoplasm of exocervix,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,436366,Benign neoplasm of testis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,436466,Balanoposthitis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,437501,Primary malignant neoplasm of labia majora,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,437655,Undescended testicle,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,438477,Atrophy of testis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,439871,Hemospermia,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,440971,Neoplasm of uncertain behavior of testis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,441068,Torsion of appendix of testis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,441077,Stenosis of cervix,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,441805,Primary malignant neoplasm of endocervix,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,442781,Disorder of uterine cervix,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,443211,Benign prostatic hypertrophy with outflow obstruction,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,443435,Primary uterine inertia,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,443800,Amenorrhea,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,444078,Inflammation of cervix,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,444106,Candidiasis of vulva,,,
